# SSP fundamental properties
# ages [yr]    metallicities     alive stellar mass [Msun]
891300000.0   0.0037047   0.7607075049760359
891300000.0   0.007564   0.7580896082019246
891300000.0   0.019   0.7827229562404572
891300000.0   0.0315321   0.7830660373016245
10000000000.0   0.0037047   0.6966921974027038
10000000000.0   0.007564   0.695385742535749
10000000000.0   0.019   0.7197563269130921
10000000000.0   0.0315321   0.7201172171313255
1122000000.0   0.0037047   0.7533582033041646
1122000000.0   0.007564   0.7506992916157205
1122000000.0   0.019   0.7763914746961689
1122000000.0   0.0315321   0.7770293450412045
12589300000.0   0.0037047   0.691603233870812
12589300000.0   0.007564   0.6895302474038502
12589300000.0   0.019   0.71539376253943
12589300000.0   0.0315321   0.715727079848918
1258900000.0   0.0037047   0.7489970442279653
1258900000.0   0.007564   0.7463137938235604
1258900000.0   0.019   0.7726343016427963
1258900000.0   0.0315321   0.7734471032967247
14125400000.0   0.0037047   0.6856
14125400000.0   0.007564   0.6834
14125400000.0   0.019   0.7136
14125400000.0   0.0315321   0.714
1412500000.0   0.0037047   0.7441038810862254
1412500000.0   0.007564   0.7413933229625247
1412500000.0   0.019   0.7684188028772885
1412500000.0   0.0315321   0.7694278751597483
1995300000.0   0.0037047   0.7338572995607509
1995300000.0   0.007564   0.7315677237584849
1995300000.0   0.019   0.7553137580328468
1995300000.0   0.0315321   0.7564077492238968
2511900000.0   0.0037047   0.7263951168578788
2511900000.0   0.007564   0.7245056997775474
2511900000.0   0.019   0.7479623891614098
2511900000.0   0.0315321   0.748976515214433
3548100000.0   0.0037047   0.7185003120501455
3548100000.0   0.007564   0.7168987703304001
3548100000.0   0.019   0.7403951212295058
3548100000.0   0.0315321   0.7413662162885669
4466800000.0   0.0037047   0.7132225378802131
4466800000.0   0.007564   0.7117480192050956
4466800000.0   0.019   0.7350417440755598
4466800000.0   0.0315321   0.7360149577478907
6309600000.0   0.0037047   0.7048294851403119
6309600000.0   0.007564   0.7036621613103503
6309600000.0   0.019   0.7267696562765371
6309600000.0   0.0315321   0.7275887713822836
7943300000.0   0.0037047   0.7008409870353552
7943300000.0   0.007564   0.7000284726978513
7943300000.0   0.019   0.7233174453353133
7943300000.0   0.0315321   0.7237507352733132
